runs/200k_abyss_k26_s700_l25	178	38	10	596	3979	8006	11471	8028	14755	203913	200k-scaffolds.fa
runs/200k_abyss_k26_s800_l25	197	42	10	596	3934	8006	11471	7798	14755	203222	200k-scaffolds.fa
runs/200k_abyss_k27_s200_l25	71	20	4	1781	8331	16534	51186	23043	51186	210560	200k-scaffolds.fa
runs/200k_abyss_k27_s600_l25	130	30	8	513	6176	9937	13172	10775	22872	204836	200k-scaffolds.fa
runs/200k_abyss_k27_s800_l25	160	35	8	513	6176	9937	13172	10557	22872	203260	200k-scaffolds.fa
runs/200k_abyss_k28_s200_l25	75	23	4	563	7788	14520	51139	22632	51139	211161	200k-scaffolds.fa
runs/200k_abyss_k28_s500_l25	107	30	8	804	6178	10653	12407	11160	27226	208224	200k-scaffolds.fa
runs/200k_abyss_k28_s700_l25	131	35	9	515	5195	10653	12407	9095	13799	205898	200k-scaffolds.fa
runs/200k_abyss_k28_s800_l25	143	38	9	515	5195	10653	12518	9059	13799	205506	200k-scaffolds.fa
runs/200k_abyss_k29_s200_l25	60	19	4	1783	8367	16488	51104	22181	51104	210559	200k-scaffolds.fa
runs/200k_abyss_k30_s800_l25	120	35	7	609	5030	10589	15713	10882	22779	205847	200k-scaffolds.fa
runs/200k_abyss_k32_s800_l25	71	31	7	548	5855	9435	21479	11625	22763	207260	200k-scaffolds.fa
runs/200k_abyss_k33_s1000_l25	68	29	5	615	7736	13780	23737	14947	27440	207241	200k-scaffolds.fa
runs/200k_abyss_k33_s500_l25	42	23	5	1496	8277	12502	29491	18346	37477	208784	200k-scaffolds.fa
runs/200k_abyss_k33_s600_l25	44	23	5	1496	8125	12502	29491	18347	37477	208632	200k-scaffolds.fa
runs/200k_abyss_k33_s700_l25	54	26	5	615	7736	12502	29364	18186	37477	207883	200k-scaffolds.fa
runs/200k_abyss_k33_s800_l25	61	29	6	615	7736	12502	23737	14847	29364	207552	200k-scaffolds.fa
runs/200k_abyss_k34_s200_l25	22	16	4	1788	10832	16442	51017	24696	51017	210090	200k-scaffolds.fa
runs/200k_abyss_k34_s300_l25	26	17	4	1788	8655	16442	51017	24469	51017	209881	200k-scaffolds.fa
runs/200k_abyss_k34_s700_l25	47	25	5	617	7736	10592	51045	20051	51045	208654	200k-scaffolds.fa
runs/200k_abyss_k35_s200_l25	22	17	5	1789	10833	16443	27370	18547	29494	210137	200k-scaffolds.fa
runs/200k_abyss_k35_s700_l25	39	22	4	619	8186	23699	27400	17174	29526	208530	200k-scaffolds.fa
runs/200k_abyss_k35_s800_l25	42	22	4	619	8186	22767	29230	17459	29526	208447	200k-scaffolds.fa
runs/200k_abyss_k36_s200_l25	26	17	4	2076	8660	23700	29180	18845	29464	209960	200k-scaffolds.fa
runs/200k_abyss_k36_s300_l25	30	19	5	1865	8591	16461	27350	18121	29464	209887	200k-scaffolds.fa
runs/200k_abyss_k36_s600_l25	33	20	5	1865	8302	15716	27382	16896	29464	209838	200k-scaffolds.fa
runs/200k_abyss_k36_s700_l25	39	22	5	621	8302	15716	27382	16580	29498	209233	200k-scaffolds.fa
runs/200k_abyss_k37_s200_l25	22	18	4	2245	8792	23570	29200	18612	29464	209922	200k-scaffolds.fa
runs/200k_abyss_k37_s300_l25	25	19	5	1866	8656	16442	27370	18151	29464	209657	200k-scaffolds.fa
runs/200k_abyss_k38_s300_l25	27	20	4	536	7750	16455	51017	23922	51017	209580	200k-scaffolds.fa
runs/200k_abyss_k38_s800_l25	39	26	6	536	7750	11504	22770	14422	29459	209755	200k-scaffolds.fa
runs/200k_abyss_k39_s200_l25	24	19	4	538	7750	16452	51035	23993	51035	209848	200k-scaffolds.fa
runs/200k_abyss_k39_s300_l25	26	19	4	538	7750	16452	51035	24020	51035	209546	200k-scaffolds.fa
runs/200k_abyss_k40_s200_l25	23	19	4	538	7750	16454	51018	23974	51018	209753	200k-scaffolds.fa
runs/200k_abyss_k40_s300_l25	24	19	4	538	7750	16454	51018	23996	51018	209505	200k-scaffolds.fa
runs/200k_abyss_k40_s400_l25	25	19	4	538	7750	16454	51018	23996	51018	209493	200k-scaffolds.fa
runs/200k_abyss_k40_s700_l25	32	23	4	529	7356	15715	51018	22367	51018	209105	200k-scaffolds.fa
runs/200k_abyss_k40_s800_l25	32	23	4	529	7356	15715	51018	22367	51018	209105	200k-scaffolds.fa
runs/200k_abyss_k41_s300_l25	25	18	4	1641	7750	16451	51033	24083	51033	208726	200k-scaffolds.fa
runs/200k_abyss_k41_s600_l25	27	18	4	1641	7750	16451	51033	24099	51033	208289	200k-scaffolds.fa
runs/200k_abyss_k41_s700_l25	30	21	4	531	7750	16451	51033	23729	51033	208324	200k-scaffolds.fa
runs/200k_abyss_k41_s800_l25	30	21	4	531	7750	16451	51033	23729	51033	208324	200k-scaffolds.fa
runs/200k_abyss_k42_s200_l25	25	20	5	1873	7356	16451	25528	16932	27467	208977	200k-scaffolds.fa
runs/200k_abyss_k42_s300_l25	28	20	5	1642	7750	16451	25528	16958	27467	208395	200k-scaffolds.fa
runs/200k_abyss_k42_s500_l25	36	23	5	1642	6200	15717	25528	15554	27467	207735	200k-scaffolds.fa
runs/200k_abyss_k42_s700_l25	40	26	5	533	6200	15717	25528	15155	27467	207794	200k-scaffolds.fa
runs/200k_abyss_k42_s800_l25	40	26	5	533	6200	15717	25528	15155	27467	207794	200k-scaffolds.fa
runs/200k_abyss_k43_s200_l25	28	22	4	1791	6201	16449	47513	20569	47513	213621	200k-scaffolds.fa
runs/200k_abyss_k43_s500_l25	33	22	4	1643	7342	16449	51039	22330	51039	207862	200k-scaffolds.fa
runs/200k_abyss_k43_s700_l25	41	26	4	549	7342	16449	51039	22154	51039	206725	200k-scaffolds.fa
runs/200k_abyss_k43_s800_l25	43	26	4	549	7342	16449	51073	22177	51073	206597	200k-scaffolds.fa
runs/200k_abyss_k44_s200_l25	39	23	5	1607	6202	15173	23684	15914	32000	212622	200k-scaffolds.fa
runs/200k_abyss_k44_s500_l25	50	26	5	1607	6008	15463	23684	15042	32000	206906	200k-scaffolds.fa
runs/200k_abyss_k45_s200_l25	59	30	6	1607	4771	11524	20978	14038	32813	210499	200k-scaffolds.fa
